text,label
Inaasahan na ni Vice President Jejomar Binay na may mga taong... https://t.co/SDytgbWiLh,0
Mar Roxas TANG INA TUWID NA DAAN DAW .. EH SYA NGA DI STRAIGHT,1
Salamat sa walang sawang suporta ng mga taga makati! Ang Pagbabalik Binay In Makati #OnlyBinayInMakatiSanKaPa https://t.co/iwAOdtZPRE,0
@rapplerdotcom putangina mo binay TAKBO PA,1
"Binay with selective amnesia, forgetting about the past six years he spent preparing to be president.  #PiliPinasDebates2016",0
It doesn't matter whoever won between Duterte &amp; Miriam as President. As long as they finally changed the country Noynoy failed to do so.,0
Nognog? Pero nognog din ang nag malasakit? Wtf? Tangina mo Binay nagpapaawa kapa! Hahahahaha #Nognog ??,1
#OnlyB1nay ?? #FB https://t.co/QEQnsK67Gm,1
What Abi Binay said on running for Makati mayor #Halalan2016 https://t.co/ayxM39JKNx https://t.co/rHhl4LfMaa,0
Srsly. How can Binay do away with no tax for those earning PhP 30k and below without any compromises? Nkklk talaga!,1
"Sen Grace Poe, puro ka puso. Kaya lugmok bansa natin sa kahirapan at corruption. Puro puso. Walang utak.",1
"RT @KarlNative: Sa laki ng ginastos ni Binay tapos sa laki din ng talo niya sa Mayo, siya pa din tameme sa ending ng kwento. Yun na! https:…",1
ENDO na para kay PNoy. No extension para sa kanyang Mar Roxas! #DuterteTillTheEnd,1
"@xpeanutgalleryx Pet theory: Contrasted w/ PNoy for past 6 years, Binay hasn't failed much - then again he hasn't done much either.",0
"RT @_nicklegaspi_: Sino ba si Binay? 

Yuan: Nognog, Pandak, Laki sa Hirap.",0
BREAKING: VCM Inside Novotel Cubao owned by Mar Roxas https://t.co/dHPwvHwfwX,0
"di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si Roxas, Binay or Poe ang mananalo, kayo na matatalino :D",0
"RT @chevalierkun: So ""anak ni Mar"" pala itong si DJP.
Won't be surprised if ""Nese Iye Ne Eng Lehet"" will be Mar Roxas' campaign jingle.

#N…",0
"Ang kakapal ng mga mukha niyo PNoy at Roxas, matapos niyong batikusin si Poe at Binay sila naman ang yayain niyo? Anu toh Civil War?",1
#OnlyBinayMagAangatSaTacloban,0
"Eh di wow! Talagang gamit na gamit yung ""PANDAK""? SUS! IBA NA LANG BINAY! WAG KAME!  https://t.co/GboiJfHXPZ",1
Parang walang gustong maka tandem ni mar roxas sa liberal party dahil alam nilang mahihirapang manalo si roxas.,1
Si Senator Nancy Binay ba tinutukoy mo? Hahahahaha! ?? https://t.co/LLHL8Q9R3I,0
ITO NAMAN SI MAR ROXAS PARANG P***** i** ???? MAKIKIPAG SANIB LANG KAY POE PARA TALUNIN SI DUTERTE ? #DuterteTillTheEnd,1
Alma Moreno OK despite being bashed over TV interview: Binay #Halalan2016 https://t.co/QErQ4b35fF https://t.co/b1jPPpALbZ | via ABS-CBN N…,0
I will definitely not vote for Binay a big NO ????,0
si Mar Roxas yung parang cartoon or anime na hindi nagpapalit ng damit.,0
"Political ad on respect not a response to Duterte’s rape remark, Poe clarifies https://t.co/XSgjKs34vl",0
"RT @TropangMARangal: Mar Roxas is in Naguilian, Isabela today to attend a sectoral assembly https://t.co/6JTsqoVgbG",0
Sooo not Mar Roxas ??,0
Nakakairita na tong mga commercial ni binay. ??????,1
"#Newsreport Pagsuporta ng Gobernador ng Ifugao kay VP Binay, pinasalamatan ng UNA I via Allan Francisco",0
Haha. Binay at Jollibee. https://t.co/grK0Unnrqu,0
"VPcandidate senTrillanes, campaign more for Presidential CandidateSenGracePoe than his VP bid, also said no to Binay https://t.co/zM4f12tMiJ",0
That Binay commercial tho.,0
Mar offered unity talks w Grace Poe. Invitation declined. Bayan bago Sarili Sana. #Roxas2016 #RoxasRobredo #SwitchtoMar,0
"Nagrereklamo yung kasabay ko sa jeep, Duterte daw binoto niya Roxas lumabas.",0
"Walang drama. Walang hugot. Trabaho lang. At higit sa lahat, hindi tayo pagnanakawan ni @MARoxas!
#RoxasRobredo2016 https://t.co/AdlkE3qXNF",0
ItsShowtime ToMiho,0
"If Mr.Palengke looses his Presidential bid ,di c Binay di c Duterte At lolong di c Poe ang sisihin kundi ALDUBNATIONS. #VoteMaineFPP #KCA",0
Binay completes Senate slate #Halalan2016 https://t.co/qFiWau1srr https://t.co/qx9Wyvgk7C,0
lol binay,1
"Mar Roxas, handang humarap sa panibagong imbestigasyon ng Mamasapano clash https://t.co/vx7Obja5TQ",1
O mar roxas debates daw.. https://t.co/WYNSrwKv0x,0
Sana kasi President Duterte and Vice President Santiago,0
Lonely Binay.,0
"BINAY NA KANG TALAGA AKO. Nognog, pandak, laki sa hirap.",1
"Mar Roxas' son, Paolo now stumping for his Dad here in Digos City, Davao del Sur | @aureacalica https://t.co/SAI6wtBTIS",0
Handa na po ang Wheel Chair PNOY  Trillianes Mar Roxas,0
RT @markanthonyqui5: @yaneeyoo wow binay ikaw bayan haha,0
Talagang mas pinili nila si ROXAS at BINAY over MDS. WTF!!! ?????? #Election2016,1
@AbglGrllo @dauntjess oy nandito si binay,0
Had a lot to say about the controversial paid ads released last night. But it thought me that it only helps make mar roxas's name trend.,0
Do you know that #Binay's enormous wealth did not all come from his salary all these years as a gov't. official? https://t.co/apoM28DulB,0
Mar Leni Mar Leni Mar Leni Mar Leni Mar Leni!!! Think positive. Tandem win!???? #RoxasRobredo,0
LOOK: 'Binay' sign ala Hollywood rises on Banaue Rice Terraces https://t.co/gQ2bBkt5ou #Halalan2016 https://t.co/kqL7UQ8l2M | via ABS-CBN…,0
"RT iamkarendavila: JUST IN. Mar Roxas calling on Grace Poe to talk. ""This is for unity. Mag-usap tayo"" ANCALERTS",0
Lt yung tvc ni binay haha ??,1
"Pati ba naman Picos Machine, binayaran ni Mar Roxas??????",1
RT @senmiriam: [STAFF] Sen. Miriam Defensor Santiago sponsors Senate Resolution No. 1414 on the EDCA.,0
RT @ruffagucherez: #RespectDJPDecisionForMarRoxas tanungin na lang natin kng san galing yng binayad ni pamintang @MARoxas sa kanya! #Yoland…,0
LP to Binay: Where did you get the P600M you spent on TV ads? | https://t.co/Crkqho2mPm | Philippine News https://t.co/68hAdQCt8q via @po_st,0
pinaka walang kwenta sa debate na to si binay. nakakaloka..puro ka nanaman makati. #pilipinasdebate2016,1
"@omeng414 @ADMDShippersOFC @erlyn21 basahin ko padin, panu kung ma retweet ko nanaman yung kay BINAY?

ADN FOR MAINE
#VoteMaineFPP #KCA",0
"He is just endorsing Mar Roxas, hindi naman niya kau pinipilit na iboto siya. 
#RespectDJPDecisionForMarRoxas",0
#Roxas2016 #RoxasRobredo #SwitchtoMar  https://t.co/fbIzaMOoUr,0
"Madami naman natulungan si Binay, kesa kay dut3rt3.",0
@aisaraaap gago hindi! Hahahaha. Mga anti-Binay girl.,0
#UNTVRepaso2015 CA dismisses Junjun Binay’s petition against Ombudsman suspension order [2-11-2015] [NY-A1710],0
Over motherly naman 'tong si Poe. Yung masungit at mahigpit na nanay ang kelangan ng Pilipinas para may disiplina. #PiliPinasDebates2016,1
Yown! 1st time nag vote. #DapatTama #eleksyon2016 #gracepoe2016 #gracepoeforpresident https://t.co/omJ5hXVHVj,0
"Nalito yung pari kung san pa pwede paitimin si Binay. Nagtagal tuloy misa. Cause of delay ka, VP! Hala!  https://t.co/IqSB85tQAA",1
@Jessalipopsx Duterte Roxas Poe Binay Santiago ang Rank,0
"Nung si Binay ginisa sa UPLB, tuwang tuwa kayo. Nung kandidato niyo na, bastos na estudyante ng UPLB.",1
@rapplerdotcom salamat sa UNA camp. we fought a good fight guys VP Binay pa rin tlga,0
#OnlyBinayParehoTayo kung lumaki man taung mahirap c VP Binay din ay lumaki ng mahirap,0
RT @_NEILcutter: my goodness Jejomar Binay super annoying mo na can you pls stop like really. Oo na laki ka sa hirap punyeta ka,1
K.,0
Bets should be ready but wrong to bash Alma Moreno for interview —VP Binay #http://ift.tt/1lySbjY https://t.co/efOLgJwM6T,0
I WAS REALLY IRRITATED OF BINAY'S ANSWER. IT DIDN'T MAKE SENSE TO ME.,1
Say goodbye to your presidential ambitions Mar. Your Mar Roxas Trains can't even support your contrived image. https://t.co/oSp5sFX8CL,1
"BETA | #NEWSROOM5: EPAL MOVES? BINAY, ROXAS, ROBREDO, BINISITA ANG MGA BINAGYO

For more videos, visit us... https://t.co/Et9jYW0B5d",0
NALSS AKO SA CAMPAIGN SONG NI BINAY WTH ANONG MALI SAKIN :(((,1
"Tapos nagtataka tayo kung bakit andaming naloloko ng mga tulad ni Marcos at Binay. 
Eh ganun din naman tayo, Iba lang ang pinapansin.
??",1
Pacquiao and Moreno for Binay's senatorial line up *face palm*,1
Bakit dahil kay Binay... hindi masyadong kita ang kilay sa sobrang itim ang kulay?,1
"WATCH | Daniel Padilla interviews Mar Roxas, gets mixed reviews https://t.co/61eyq1w6MF",0
"FUCK YOU NOYNOY, FUCK YOU MAR ROXAS WALA MOY PULOS YAWA MO.",1
2015/11/22 05:18 PHT https://t.co/dRwxiUtCOV,0
Not sure why Binay isn't giving up. He's 10M behind Duterte and there's just less than 10M votes that's yet to be counted. #Halalan2016,0
Tangina naman yung ad ni Binay nakabwisit!,1
Binay’s big promise: No income tax for workers earning P30K monthly and below: Vice President Jejomar Binay vo... https://t.co/hOmPUO1AQ8,0
@dekstrauss @JLequin ganyan tlga basta puro at walang bahid. ehh? *grace poe tone* hahaha,1
2016/2/9 08:32 PHT,0
"""Ano masasabi mo sa performance ni Binay sa recent presidential debate?""

Me: https://t.co/sPnrx3pXm2",0
Tangina ka Enrile. Di naman masyadong halatang solid binay supporter ka. #MamasapanoSenateHearing,1
@suigeneris_05 Errata: Binay pa rin ang may pinakamataas na distrust at disapproval ratings.,1
Introduction mo Mar Roxas panay paninira lang sa kapwa mo kandidato. ?? #PiliPinasDebates2016 #TeamReplay,1
