text,label
Escudero denies betraying Poe after meeting with Binay |https://t.co/sKlXTIhHJa - Kare-kare at sinampalukan ang topic. Walang balimbing?,0
Hndi ko makita yung sa one more chance saka kay binay sa fb. Haist.,1
Mar Roxas is now addressing the crowd gathered at Pasay City's Ulat sa Barangay 2016  https://t.co/VruZyJ2e2H,0
@ImYourBaeMax perfect! Para makaharap ni Duterte ang mga Binay at makatikim ng mura #^%* i#*,0
#OnlyBinayPriority4Ps Wag nating hayaan na maloko tayo ng mga pulitikong yan. Kay Binay na tayo,0
Regards ko sa advertistment ni binay ???? haha,0
Binay!,0
"@anellemungcal Si binay lang, sapat na, bh3! ??",0
"Dear ABS-CBN, MTRCB, Trillanes and Mar Roxas https://t.co/Qrl1c9IH5F",0
@OhhMyShella asuuuus kilala ko na. Si binay lang pala birahin ko na ba,0
Latest @ABSCBN survey by Pulse Asia: duterte down by 1pt; poe &amp; roxas now tied for 2nd #Halalan2016 https://t.co/65QPeXb6Jl,0
You see Poe and Binay work steadily. They are not after their soundbites like Mar and Duterte. SEE how the numbers reflect strategy,1
Sen @TrillanesSonny: Binay lied in TV ad on Senate probe https://t.co/fetHllUBoK #PHvote https://t.co/dYOyHpiTjU,1
Idk but I think Grace Poe and Leni Robredo could be a good tandem.,0
mas kapani paniwala na ngayon ang partial results na si Poe ang pumapangalawa #Halalan2016,0
"RT @lenbaldonado: ""Sino pang tutulong sa nognog? Eh di ang nognog din."" - Luh, Binay. Ikaw lang nognog, wag kang nandadamay. https://t.co/F…",1
@JbMavini @ItsGelicaa atleast kame binabaha lang hindi kame muka BAHA ha. Kamuka nyo si binay. POGI MAYOR NAMEN BOY KAYA SHATTAP! HAHAHA!,1
#ALDUB34thWeeksary,1
#PBBTheBigNight,1
SC scolds Binay lawyers for ‘wrong doctrine’ https://t.co/EsyCoUTkAM via @inquirerdotnet,0
Tigas ng mukha ni Binay!! Kulay nyu ni Bae Alden malayo na kaya wag kang feeling.,1
@meg_gutz 3rd place na lang air binay. Celebrate,0
"VIRAL NOW: The Reason Why Binay, Poe and Roxas don't deserve the Filipinos Vote. MUST READ! https://t.co/UiBVTy2Zuc",1
@mangunonmarkets what would people think then of Trillanes' allegations if Roxas and Binay joined forces?,0
@VPJojoBinay Binay maawa ka sa bansa namin,1
Mahihirapan ang mga Pilipino kung sino ang iboboto sa pagitan nina Miriam tsaka Duterte. Tsk #Duterte2016 #Halalan2016,0
@ANCALERTS haist. Manira lng kyo ng manira. Di nyo kya si VP Binay at supporters nya. #OnlyBinayUNAsaIlocos,1
#LunetaDuterteCayetano,1
Well at least babalik na si Binay sa Makati. Kasi dun lang nmn siya binibigyan ng halaga. Ngoffer siya sa inyo ng... https://t.co/rUdJdVpUso,0
"VP Binay meanwhile slipped third with 22%, Mar Roxas still fourth at 20%.",0
plastik si mar roxas,1
"Sen. Poe, binara sa Abaya resign calls

Binara ng Malacañang ang pahayag ni Senator Grace Poe na dapat nang... https://t.co/7rK0I6A363",0
Mar Roxas is so thirsty for votes.,1
--,1
"I remember Poe saying Duterte will be her crime czar, and then hindi na...So, ganito din, pabago-bago? Asan ang pagbabago? Wag Poe!",1
@hannabitchi Binay pa. Hahaha,0
VP Binay’s role in APEC - Read: https://t.co/WHuxt0Hrbp #BeFullyInformed https://t.co/4CfygGO4KR,0
@_georgeneblanco @OhBrokenMsgs para ka lang umasa na makakahabol pa sa boto si Binay ??,0
Laki sa hirap hahaya,1
"This is the worst Senate ever with the Cayetanos, Marcos, Pimentel, Binay, Poe, Escudero, Sotto, Enrile, Estrada, Ejercito, Revilla...",1
Kampo ni Roxas inalok ng 100Mphp ang Aldub para iendorso siya? Hoy Mar Roxas mahiya ka naman uy! Saan niyo ninakaw ng amo mong panot yan?,1
"Dear God, wag sanang mapunta sa kamay ni Binay ang bansang Pilipinas. Kakalungkot na nakakaawa sya na nakakagalit na ewan. Kaloka",1
Ang dami naman nagawa ni Binay. Puro lakad! #PilipinasDebates #DU30 #LakadMode,1
Binay: Kami ni Mike Rama humarap sa hamon ng kahirapan- kahirapan sa Cebu at Makati. @cnnphilippines,0
Patalastas na naman ni binay. Sayang oras,0
Walang iwanan kay VP Binay #OnlyBinayWinner Only B1NAY,0
#COMELEC denies the allegation of a prominent politician Karlo Nograles of Davao of the said vote transfer from Duterte to Roxas ????????,0
Lahat ng galit kay Mar nagmumura parang si Dudirty! Baka presidente na si Dudirty may subject na sa school na Araling Pagmumura. #MAR ROXAS,0
MEL STA.MARIA | Mar Roxas and an Erap endorsement: What could it mean? https://t.co/v9syoAxks8,0
Totoo nga ginagamit name ni Mar Roxas para sirain c Maine! @donsimounibarra @DuhhRizz @AngPoetNyo #ALDUBNewCharacter https://t.co/f51KAmngtz,0
"Jojo Binay || VP of the PH, he said he was very poor but he also said he inherit all his wealth from his parents https://t.co/iQuaQJAt79",0
Tangina. Bat si mar roxas pumapangalawa? MAGKANO GINASTOS MO,1
@BertingJuan gising? Or pikit mata sa mga issue nya ng corruption? #Binay #wakeupphil,1
"RT @tangiNADYA: nakakirita si binay, ang plastik sumagot paawa pa puta

#OTWOLHarana",1
"Mabagal na internet at mainit na panahon. Ano Binay, Roxas, Duterte, Poe &amp; Santiago, pano niyo to susolusyonan? Ndi yung puro kayo dakdak! ??",1
#DuterteTillTheEnd,1
VP Binay dances with AiAi de las Alas at UNA Campaign kickoff @manila_bulletin https://t.co/2El9MoRVtY,0
Kung ipapaliwanag lang kung san napunta ang Yolanda funds baka magbago pa ang isip ko at suportahan si Roxas pero Hindi eh kaya Du30 ako.,1
@heyyLauren_ alagad ka ni nancy binay!!!!,0
tapos ihagis niyo sa far far away,1
#Duterte2016,0
Naiirita nako sa patalastas ni Binay. Nognog pandak laki sa hirap lanjong yan oo na ikaw na!! ??,1
DAPAT KASI GRACE POE KUNG ALAM MONG HINDI KA SURE DE KA NA NAG-ASSUME YAN TULOY KUNG KAILAN PLANADO NA NAWALAN KAPA HAHAHA @MarineeKlaudys9,1
Big Big No! No to Binay! Ayaw ko sa corrupt. #phVoteRoxas https://t.co/xfJzjsvjCL,1
Kapal mukz mo Mar Roxas... https://t.co/IAaKccF88f,1
While it is very easy to be a populist and ride the ephemeral... https://t.co/Agc3OdXFYJ,0
Savage yung pagka-boo kay Binay????,0
kapandak na naman masyadong binay,1
"RT @iamAlyloony: Ano yun Mar Roxas, trip lang ng mga Pinoy na magdala ng bala ng halos magkakasunod na araw? Tanga lang sila ganon? =_=",1
SC: Binay plea moot with his dismissal https://t.co/vFJ88sLNls,0
RT @supsup010: Ohh 7 years.. Madame Conchita was appointed 2011.. 2018 pa siya mapapalitan. Yan ay kung di si Binay mananalo. Hahahaha,0
Binay’s boy scout presidency is ‘unconstitutional’ – lawyer https://t.co/38prItmP7s,0
"*sa pageant*
""Ano sa tingin mo ang best asset mo sa patimpalak na ito?""
Binay: Siguro po ung pagiging nognog, pandak at laki sa hirap ko po.",0
In this twitter tonight: Meet the Presidentiables Series featuring Mar Roxas. Non-PH people mute if you don't want to see PH election tweets,1
"@rpio_pro3 @pioaurora Former SILG Mar Roxas and PCSUPT RUDY G LACADIN, RD,PRO3 together with APPSC personnel. https://t.co/eUKXozlqKz",0
Daming ads ni Binay,0
"PDI reporter Carvajal, whose reports were quoted by Bondal, says she got complaints from Binay camp but not from AMLC.",0
"""Kung totoo yung sinasabi ni Roxas, edi sana hindi na natin ito pinaguusapan ngayon."" - Binay to Roxas. Burn. #PiliPinasDebates2016",0
kahit sino na manalo wag lang si Mar Roxas putangina !,1
